,N2cgc_1,N2cgc_2,N2cgc_3,N2cgc_4,egl9_B,egl9_C,egl9_H,egl9_I,hif1_B,hif1_C,hif1_H,hif1_I,egl9hif1_B,egl9hif1_C,egl9hif1_H,egl9hif1_I,OR3350_1,OR3350_2,OR3350_3,OR3350_4
WBGene00023193,0,0,1,1,11,1,1,0,4,4,1,2,8,4,0,0,0,0,0,0
WBGene00022277,510,549,461,544,1465,1321,969,1062,1348,1382,844,871,1117,983,724,917,531,523,515,525
WBGene00022276,1878,2197,1518,1725,4752,4444,2811,2908,4230,4295,2382,2669,3754,3596,2121,2624,1616,1519,1532,1762
WBGene00022278,1215,1446,1044,1091,2977,2445,2033,2611,2233,2102,1471,1596,1870,1599,1303,1669,1482,1562,1487,1462
WBGene00235381,33,38,26,25,64,71,40,55,69,93,59,61,82,99,57,58,12,39,16,16
WBGene00022279,1689,1627,1222,1514,2204,1926,1606,1631,2554,2859,1560,1598,2291,2200,1335,1485,1017,1116,1157,1170
WBGene00170953,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
WBGene00173569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022275,5,8,9,6,19,25,13,17,17,18,8,11,15,14,5,9,5,4,8,9
WBGene00044345,314,431,297,264,1092,791,704,891,772,691,520,600,701,597,470,585,402,484,454,447
WBGene00021677,504,633,446,459,1300,1127,849,1040,981,1094,663,651,860,805,591,623,528,610,539,520
WBGene00021678,806,770,714,746,900,1000,824,603,1123,1313,749,597,1064,1169,798,827,353,340,383,452
WBGene00000812,1467,1627,1317,1309,2848,2531,1961,2415,2579,2617,1838,1777,2168,2233,1548,1874,1383,1351,1380,1405
WBGene00021683,762,845,649,718,1656,1542,1220,1504,1286,1326,1002,962,1142,1180,859,951,799,741,811,789
WBGene00021679,38,77,43,33,158,140,97,84,156,133,74,87,136,120,58,76,58,48,62,42
WBGene00021682,223,251,204,222,850,807,513,584,664,702,359,385,571,557,330,395,252,249,285,287
WBGene00021676,751,857,630,648,1497,1238,895,1178,1290,1241,878,879,1146,1023,730,846,578,610,587,662
WBGene00189949,46,84,53,35,65,28,24,35,77,89,15,40,46,23,8,19,23,22,31,23
WBGene00021681,3331,4128,3042,3129,5726,5270,4010,4625,5285,5151,3689,3928,4593,4157,3083,4177,3069,3049,3155,3556
WBGene00004274,10468,11149,9034,10228,26345,26351,17377,17892,24557,25400,15101,15097,22480,23714,14000,15103,10080,10054,10373,11315
WBGene00199899,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0
WBGene00199597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00004418,69623,73791,58369,67274,128942,135112,93588,96611,139591,149726,95897,95708,128119,130091,81392,92542,53928,56181,55689,59861
WBGene00202494,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,2,0
WBGene00023461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018774,34,31,24,37,100,74,67,65,80,60,52,36,66,67,39,42,29,26,26,23
WBGene00018773,443,459,349,414,786,796,550,453,730,837,499,458,733,730,446,499,229,249,255,306
WBGene00171818,0,0,0,0,0,1,0,0,1,0,2,0,1,0,1,1,1,0,0,0
WBGene00000622,13,19,12,7,14,25,16,12,22,35,13,21,17,15,14,18,3,7,13,8
WBGene00004962,438,440,398,369,537,670,555,438,548,669,593,449,563,567,437,468,242,233,237,273
WBGene00003229,2687,4366,2668,2407,10220,6811,6530,9766,5846,4686,3936,4550,4319,3119,2926,4896,4794,5143,4983,4693
WBGene00018772,17,16,9,18,50,53,48,61,43,41,41,39,29,20,20,22,8,12,8,14
WBGene00018771,0,6,3,1,7,8,8,6,7,4,1,5,1,2,1,2,0,1,0,0
WBGene00000253,1247,1101,990,1270,2044,2132,1534,1471,2183,2478,1648,1433,2127,2235,1592,1549,907,971,957,1073
WBGene00004225,526,463,416,596,2808,3927,2725,1563,2097,2064,1397,1296,2200,3257,1894,1396,1066,835,1066,1397
WBGene00018958,424,319,325,463,2250,3343,1854,1325,1368,1384,964,756,1297,2003,1322,827,641,581,605,791
WBGene00201018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018957,299,405,288,270,1062,1063,755,798,633,647,440,467,583,514,358,402,433,429,378,391
WBGene00018955,143,163,117,126,463,461,297,338,420,397,257,274,301,338,194,220,171,180,175,175
