"","logFC","logCPM","LR","PValue","FDR"
"WBGene00017019",-12.5471135849888,2.99342973327604,111.582770475048,4.41003658514378e-26,1.11782177331769e-23
"WBGene00001767",11.4952881338655,6.44687976947669,2057.67231799716,0,0
"WBGene00008538",10.2188252738024,7.26849522564815,1847.52948068942,0,0
"WBGene00022758",9.86201384374393,0.981538327108225,206.881774974915,6.579575101896e-47,4.0025748536534e-44
"WBGene00019450",9.35471939365588,4.16044650694463,219.09072170578,1.42798024422747e-49,9.09092074086673e-47
"WBGene00015757",9.14250475800496,1.27961526767489,239.164065519488,5.98381077750461e-54,4.55018944539413e-51
"WBGene00049888",9.07930628914865,-0.940673964556567,244.183073670477,4.81549392842245e-55,3.76640417973042e-52
"WBGene00019963",9.06518365874981,9.10239182453832,843.017582185057,2.39643719896936e-185,1.31204936643572e-181
"WBGene00012587",8.88562071985319,1.49942135798752,223.805190856692,1.33784558429819e-50,9.15588071754076e-48
"WBGene00012590",8.77950550800155,4.40661570170009,580.107422918377,3.55397249328674e-128,9.72899970037245e-125
"WBGene00019449",8.77251501924854,3.13987856794991,311.574199565366,9.91513585888808e-70,1.1801167136394e-66
"WBGene00019961",8.75885363899173,3.9927955790254,407.574244111419,1.23638863089973e-90,1.99094933946353e-87
"WBGene00019451",8.48743959285679,-0.417406909145041,121.383686974824,3.14934449527051e-28,8.62133055580301e-26
"WBGene00015877",-8.06571725303683,-0.761504393556053,84.0061153885038,4.93246651804159e-20,8.88330729811767e-18
"WBGene00015760",7.72440878867386,2.2590721489601,285.194660392365,5.54148358868716e-64,5.41778975858253e-61
"WBGene00019563",-7.62957490339031,2.89758028746946,361.855923490355,1.11036254904036e-80,1.59979867263052e-77
"WBGene00017501",-7.35225606628008,4.17264527505181,57.4506317971506,3.46569852949105e-14,3.73517705688258e-12
"WBGene00000654",7.20214947732224,1.3732407610912,291.749280593475,2.06732040480635e-65,2.26371584326296e-62
"WBGene00014206",7.16691071712031,5.96399437863675,703.559721225331,5.03062755391021e-155,1.96733470411846e-151
"WBGene00019452",7.02171005215995,-0.549826417355599,112.770497418748,2.42253835902419e-26,6.19784930638197e-24
"WBGene00017498",-7.02098368730067,2.93372162050357,56.1413577512663,6.74434016309349e-14,6.88904149121956e-12
"WBGene00019454",6.99412088122878,-1.52252579828911,60.1381181374439,8.84291049175426e-15,1.01712048198224e-12
"WBGene00015878",-6.89729076365892,0.133676669648988,148.709018656078,3.32005602212897e-34,1.19587544218132e-31
"WBGene00010707",-6.87317653511506,2.70614458548796,108.040905552633,2.6328778233914e-25,6.37832127569376e-23
"WBGene00007183",6.65046862748018,5.17268305062779,919.219799545515,6.51202254074355e-202,4.45666542632137e-198
"WBGene00010759",6.64372250392851,9.27387928484402,785.182398384658,8.98901216297283e-173,4.10123679935635e-169
"WBGene00017020",-6.54661351140897,2.15745293327461,78.5922291637863,7.63491591914253e-19,1.26670195931228e-16
"WBGene00047725",6.54250694152398,-3.00953566902306,49.8593641959638,1.65170211601133e-12,1.50717818086034e-10
"WBGene00012589",6.5413039596145,5.11805587441666,283.997075254992,1.01061516204656e-63,9.53985864173262e-61
"WBGene00015761",6.52856230966865,0.443558560345888,174.690583492129,6.99480517249567e-40,3.19137985995115e-37
"WBGene00018809",-6.51685385900334,1.07191571802365,65.6232968048484,5.45896346178591e-16,7.1161487983995e-14
"WBGene00010382",6.4242265434264,0.143011634942293,289.446967419168,6.5623214187159e-65,6.90936726297491e-62
"WBGene00005117",6.3809837686858,-1.20673722027373,94.2911249750779,2.7236876453064e-22,5.6060864128017e-20
"WBGene00015758",6.3388250086307,1.63213545466389,274.027243336342,1.50387832830499e-61,1.32802158830159e-58
"WBGene00001436",6.31508124923533,-2.93806530805116,31.7958419053533,1.71258990949494e-08,7.72358299380955e-07
"WBGene00015886",-6.27285014749829,-0.275085661801668,99.6894493256116,1.78268379364141e-23,3.84259597251445e-21
"WBGene00015045",-6.24496358433112,3.15591587503775,171.930276846465,2.80277575942068e-39,1.19884353772096e-36
"WBGene00012323",6.1427014407679,3.76943989111512,577.944974538058,1.04976466378083e-127,2.61248251554546e-124
"WBGene00003647",6.06755223849213,6.96876833244943,587.378580373806,9.31336513365404e-130,3.18691713167224e-126
"WBGene00045535",6.04191072739288,-2.01191239574964,94.1664421859631,2.90077039264293e-22,5.88211774063704e-20
"WBGene00010166",5.96279831669297,3.71137156139637,149.722890893042,1.99310211173023e-34,7.27482270781535e-32
"WBGene00012603",5.90580635938384,5.80633126383758,129.275932947739,5.90163352497623e-30,1.75605671463287e-27
"WBGene00015884",-5.83513605404727,0.198203127522078,92.4673380909985,6.84451203362038e-22,1.35774287623448e-19
"WBGene00220138",5.82475729417827,-1.15091333738353,127.904362971291,1.17784009889924e-29,3.43014603269858e-27
"WBGene00020622",-5.72451853101441,-2.49532930970729,21.4315552797785,3.66686432131642e-06,8.30276350670281e-05
"WBGene00199860",5.72223980631149,-2.81038059000184,31.483017359634,2.01192224254023e-08,8.86898090008677e-07
"WBGene00012324",5.68381888414678,8.31653067987464,331.470563650508,4.59725672955604e-74,5.72045013507257e-71
"WBGene00008786",-5.66857633475063,-2.52795613719164,23.7686094390299,1.08639869452445e-06,2.93710020779758e-05
"WBGene00169514",5.64749658121266,-3.12262261071326,34.0231974090659,5.44589212306218e-09,2.72046162169393e-07
"WBGene00005748",-5.60317851850911,-2.72043604229238,21.9661426894787,2.77502911910133e-06,6.47625082143214e-05
"WBGene00005814",5.56863196986191,-1.42509929708825,126.242268464689,2.72146539125395e-29,7.76042865474759e-27
