"","logFC","logCPM","LR","PValue","FDR"
"WBGene00022758",11.3671258168861,0.981538327108225,301.778829824676,1.34967131798144e-67,8.21050051772045e-65
"WBGene00001767",11.3603800254608,6.44687976947669,2018.84168082446,0,0
"WBGene00019450",10.806201983429,4.16044650694463,270.360848672552,9.46812643636416e-61,4.8903766263296e-58
"WBGene00015757",10.1297136240369,1.27961526767489,302.620269501442,8.84934301910043e-68,5.50569920790623e-65
"WBGene00019449",10.1031722603005,3.13987856794991,396.424871586991,3.30524609785146e-88,3.12003834236841e-85
"WBGene00008538",9.92980293143932,7.26849522564815,1773.84389441005,0,0
"WBGene00019451",9.79563121998142,-0.417406909145041,187.883478843691,9.21160237232605e-43,2.57313892798393e-40
"WBGene00012590",9.78095839753921,4.40661570170009,689.15580065396,6.82138783312205e-152,1.69759538119742e-148
"WBGene00000654",9.34153139838462,1.3732407610912,596.984124315577,7.58191173440582e-132,1.2972177108085e-128
"WBGene00017019",-9.30179757740583,2.99342973327604,105.259828774999,1.07126049768464e-24,1.39646457733891e-22
"WBGene00015760",8.95724436487845,2.2590721489601,375.31204599618,1.30502544181264e-83,1.11640848342565e-80
"WBGene00019963",8.91617599533182,9.10239182453832,825.081774196834,1.90079796493375e-181,7.43347775572305e-178
"WBGene00012587",8.69961219818575,1.49942135798752,215.706288540741,7.81614672274287e-49,2.60935386018398e-46
"WBGene00019454",8.5545345332158,-1.52252579828911,118.341958733517,1.45930310282222e-27,2.28276699655762e-25
"WBGene00045069",8.53478286771615,-1.77271540792305,251.105518936692,1.49083186921341e-56,6.80192040328619e-54
"WBGene00049888",8.45711617986412,-0.940673964556567,195.360600029851,2.14936908742026e-44,6.46582184265161e-42
"WBGene00019961",8.3806595850452,3.9927955790254,381.540603385153,5.7484325851791e-85,5.07623683933154e-82
"WBGene00013971",8.26665793449015,-0.799767578421711,160.85233575783,7.36930002209937e-37,1.62689183955621e-34
"WBGene00019452",8.21821334158996,-0.549826417355599,175.674042503597,4.26593955947566e-40,1.11219138514901e-37
"WBGene00007183",8.08167340322133,5.17268305062779,1247.12684456061,3.49529466398474e-273,3.18945638088607e-269
"WBGene00010166",8.06242371355969,3.71137156139637,234.092803147616,7.63490933895447e-53,3.0290672920852e-50
"WBGene00020616",-7.82791313234201,2.84492796822275,679.284815851837,9.5599037724873e-150,2.18085304809867e-146
"WBGene00015761",7.8161142592323,0.443558560345888,268.569540661437,2.32634779249614e-60,1.17932908925151e-57
"WBGene00021241",7.69810323579832,-2.25479290142792,119.870552661345,6.75264037287013e-28,1.07472982678674e-25
"WBGene00018055",-7.65255008003634,2.32022042618352,488.608201310659,2.86188729717649e-108,3.40626803305245e-105
"WBGene00015878",-7.54242663873479,0.133676669648988,221.836713662319,3.59548020675185e-50,1.295082508682e-47
"WBGene00012589",7.51946039937019,5.11805587441666,346.665396228002,2.25583131958643e-77,1.71537173260218e-74
"WBGene00020244",7.48647258415375,-0.712852574081307,130.857035976725,2.66096701612505e-30,4.55274825415145e-28
