"","TF","total","bg","enrich","low","high","Significantly enriched"
"1","PQM-1",61,4152,0.518834838825592,0.773999513657851,1.24180141751699,"TRUE"
"2","DVE-1",107,7230,0.522639368832081,0.830361614032279,1.17715969989282,"TRUE"
"3","NHR-28",120,7855,0.539500308034901,0.836225477454097,1.16891733407562,"TRUE"
"4","CEH-38",30,1757,0.602984479171051,0.663282927088156,1.38686430209342,"TRUE"
"5","HLH-30",121,7028,0.60800934983081,0.829103658860195,1.18084460504331,"TRUE"
"6","DAF-16",249,12948,0.679130596092011,0.875505708215002,1.1291568947072,"TRUE"
"7","FKH-10",44,2162,0.718709900027068,0.686041268207656,1.3394139045959,"FALSE"
"8","MEP-1",107,5239,0.721260285675883,0.802149289676916,1.2133350600155,"TRUE"
"9","CES-1",21,999,0.742352963896372,0.56560225820676,1.52005606893067,"FALSE"
"10","UNC-130",38,1742,0.77035709407452,0.648721763431174,1.37853374729125,"FALSE"
"11","LSY-2",166,7363,0.796177550654114,0.82975130279013,1.17508132476059,"TRUE"
"12","DPL-1",86,3503,0.866991728724942,0.756097437841519,1.26016239640253,"FALSE"
"13","NHR-77",94,3688,0.900105844278132,0.756471932957153,1.25440282553655,"FALSE"
"14","RBR-2",82,3112,0.930531125236611,0.737616135858289,1.28231728233826,"FALSE"
"15","F49E8.2",37,1374,0.950980543581535,0.61685224448532,1.43932190379908,"FALSE"
"16","NHR-6",74,2700,0.967886864356318,0.719375372156723,1.30795522210313,"FALSE"
"17","PHA-4",46,1620,1.00276567027907,0.653977611051566,1.39515223691001,"FALSE"
"18","DUXL-1",60,1961,1.08051374798933,0.666316811260086,1.35064218498666,"FALSE"
"19","NHR-11",73,2347,1.09841488826812,0.707198626693172,1.32411657763828,"FALSE"
"20","R02D3.7",12,380,1.11520392621425,0.278800981553562,1.85867321035708,"FALSE"
"21","MDL-1",172,5409,1.12296987455111,0.803054038196432,1.20784550460439,"FALSE"
"22","UNC-62",98,2733,1.26631888682213,0.72361079246979,1.30508375070444,"FALSE"
"23","NHR-25",65,1811,1.26751044439039,0.663005463219589,1.36501124780504,"FALSE"
"24","LIN-13",63,1728,1.28751842175777,0.653977611051566,1.38970242348458,"FALSE"
"25","F37D6.2",69,1876,1.29889156651287,0.658858040984787,1.3741896283397,"FALSE"
"26","NHR-48",112,2966,1.33353222914358,0.738205341133056,1.28590607810274,"TRUE"
"27","NHR-102",91,2408,1.33457058999477,0.703949322195041,1.3199049791157,"TRUE"
"28","SPR-1",69,1439,1.69334300123567,0.613530072911476,1.42338976915462,"TRUE"
"29","ZTF-7",66,1188,1.9619328331547,0.594525100955969,1.45658649734212,"TRUE"
"30","SNPC-4",21,370,2.0043530025202,0.286336143217172,1.90890762144781,"TRUE"
"31","NHR-10",44,760,2.04454053139279,0.511135132848198,1.57987222880352,"TRUE"
"32","F10B5.3",43,737,2.06042878271606,0.479169484352572,1.58125929836349,"TRUE"
"33","LIN-15B",21,356,2.08317587340583,0.29759655334369,1.8847781711767,"TRUE"
"34","NHR-116",11,183,2.12274699980672,0.136879034871258,2.31572399978915,"FALSE"
"35","ZIP-2",45,747,2.12739704799907,0.472754899555349,1.60736665848819,"TRUE"
"36","43252",56,899,2.19980900536144,0.54995225134036,1.53200984301957,"TRUE"
"37","LIR-3",41,628,2.30558348864358,0.449869949003625,1.68701230876359,"TRUE"
"38","ZFP-2",52,788,2.33041767999086,0.492972970767297,1.56855036153231,"TRUE"
"39","CEY-2",38,573,2.34199312020561,0.431419785301033,1.66404774330399,"TRUE"
"40","NHR-76",35,496,2.49197113888601,0.427195052380458,1.77997938491858,"TRUE"
"41","ZK546.5",20,283,2.49574494676923,0.249574494676923,1.99659595741538,"TRUE"
"42","CEH-32",27,375,2.54266495176849,0.282518327974277,1.88345551982851,"TRUE"
"43","C05D10.1",14,184,2.68699496714665,0.136879034871258,2.30313854326856,"TRUE"
"44","ZAG-1",18,234,2.71652238436804,0.150917910242669,2.11285074339737,"TRUE"
"45","LIN-39",9,112,2.83779570509876,0.136879034871258,2.83779570509876,"FALSE"
"46","FOS-1",17,201,2.98682311913103,0.175695477595943,2.28404120874726,"TRUE"
"47","NHR-237",25,258,3.42197587178145,0.136879034871258,2.05318552306887,"TRUE"
"48","ZTF-11",7,64,3.86255526527331,0.136879034871258,3.31076165594855,"TRUE"
"49","SKN-1",11,98,3.96390511188398,0.136879034871258,2.88284008137017,"TRUE"
"50","EGL-27",13,109,4.21185580695596,0.136879034871258,2.59191126581905,"TRUE"
"51","R06F6.6",6,47,4.50827119107888,0.136879034871258,3.7568926592324,"TRUE"
"52","AHA-1",88,529,5.87467222630821,0.400545833611923,1.73569861231833,"TRUE"
"53","UNC-39",8,43,6.57019367382038,0.136879034871258,4.10637104613774,"TRUE"
"54","F45C12.2",7,37,6.68117667506735,0.136879034871258,3.81781524289563,"TRUE"
