"","gene","TF","Hits"
"1","21ur-1334","1k-43252",0
"2","21ur-1334","1k-AHA-1",2
"3","21ur-1334","1k-C05D10.1",0
"4","21ur-1334","1k-CEH-32",0
"5","21ur-1334","1k-CEH-38",0
"6","21ur-1334","1k-CES-1",0
"7","21ur-1334","1k-CEY-2",0
"8","21ur-1334","1k-DAF-16",7
"9","21ur-1334","1k-DPL-1",1
"10","21ur-1334","1k-DUXL-1",0
"11","21ur-1334","1k-DVE-1",2
"12","21ur-1334","1k-EGL-27",0
"13","21ur-1334","1k-F10B5.3",0
"14","21ur-1334","1k-F37D6.2",0
"15","21ur-1334","1k-F45C12.2",0
"16","21ur-1334","1k-F49E8.2",1
"17","21ur-1334","1k-FKH-10",0
"18","21ur-1334","1k-FOS-1",0
"19","21ur-1334","1k-HLH-30",0
"20","21ur-1334","1k-LIN-13",1
"21","21ur-1334","1k-LIN-15B",0
"22","21ur-1334","1k-LIN-39",0
"23","21ur-1334","1k-LIR-3",1
"24","21ur-1334","1k-LSY-2",2
"25","21ur-1334","1k-MDL-1",3
"26","21ur-1334","1k-MEP-1",2
"27","21ur-1334","1k-NHR-10",0
"28","21ur-1334","1k-NHR-102",1
"29","21ur-1334","1k-NHR-11",0
"30","21ur-1334","1k-NHR-116",0
"31","21ur-1334","1k-NHR-237",0
"32","21ur-1334","1k-NHR-25",0
"33","21ur-1334","1k-NHR-28",3
"34","21ur-1334","1k-NHR-48",1
"35","21ur-1334","1k-NHR-6",0
"36","21ur-1334","1k-NHR-76",0
"37","21ur-1334","1k-NHR-77",0
"38","21ur-1334","1k-PHA-4",0
"39","21ur-1334","1k-PQM-1",0
"40","21ur-1334","1k-R02D3.7",0
"41","21ur-1334","1k-R06F6.6",0
"42","21ur-1334","1k-RBR-2",1
"43","21ur-1334","1k-SKN-1",0
"44","21ur-1334","1k-SNPC-4",1
"45","21ur-1334","1k-SPR-1",1
"46","21ur-1334","1k-UNC-130",1
"47","21ur-1334","1k-UNC-39",0
"48","21ur-1334","1k-UNC-62",0
"49","21ur-1334","1k-ZAG-1",0
"50","21ur-1334","1k-ZFP-2",0
"51","21ur-1334","1k-ZIP-2",1
"52","21ur-1334","1k-ZK546.5",0
"53","21ur-1334","1k-ZTF-11",0
"54","21ur-1334","1k-ZTF-7",1
"55","21ur-1334","400-43252",0
"56","21ur-1334","400-AHA-1",2
"57","21ur-1334","400-C05D10.1",0
"58","21ur-1334","400-CEH-32",0
"59","21ur-1334","400-CEH-38",0
"60","21ur-1334","400-CES-1",0
"61","21ur-1334","400-CEY-2",0
"62","21ur-1334","400-DAF-16",7
"63","21ur-1334","400-DPL-1",1
"64","21ur-1334","400-DUXL-1",0
"65","21ur-1334","400-DVE-1",2
"66","21ur-1334","400-EGL-27",0
"67","21ur-1334","400-F10B5.3",0
"68","21ur-1334","400-F37D6.2",0
"69","21ur-1334","400-F45C12.2",0
"70","21ur-1334","400-F49E8.2",1
"71","21ur-1334","400-FKH-10",0
"72","21ur-1334","400-FOS-1",0
"73","21ur-1334","400-HLH-30",0
"74","21ur-1334","400-LIN-13",1
"75","21ur-1334","400-LIN-15B",0
"76","21ur-1334","400-LIN-39",0
"77","21ur-1334","400-LIR-3",1
"78","21ur-1334","400-LSY-2",2
"79","21ur-1334","400-MDL-1",3
"80","21ur-1334","400-MEP-1",2
"81","21ur-1334","400-NHR-10",0
"82","21ur-1334","400-NHR-102",1
"83","21ur-1334","400-NHR-11",0
"84","21ur-1334","400-NHR-116",0
"85","21ur-1334","400-NHR-237",0
"86","21ur-1334","400-NHR-25",0
"87","21ur-1334","400-NHR-28",3
"88","21ur-1334","400-NHR-48",1
"89","21ur-1334","400-NHR-6",0
"90","21ur-1334","400-NHR-76",0
"91","21ur-1334","400-NHR-77",0
"92","21ur-1334","400-PHA-4",0
"93","21ur-1334","400-PQM-1",0
"94","21ur-1334","400-R02D3.7",0
"95","21ur-1334","400-R06F6.6",0
"96","21ur-1334","400-RBR-2",1
"97","21ur-1334","400-SKN-1",0
"98","21ur-1334","400-SNPC-4",1
"99","21ur-1334","400-SPR-1",1
"100","21ur-1334","400-UNC-130",1
"101","21ur-1334","400-UNC-39",0
"102","21ur-1334","400-UNC-62",0
"103","21ur-1334","400-ZAG-1",0
"104","21ur-1334","400-ZFP-2",0
"105","21ur-1334","400-ZIP-2",1
"106","21ur-1334","400-ZK546.5",0
