Gene,pvalue
WBGene00001767,0.01
WBGene00017019,0.01
WBGene00012590,0.01
WBGene00015761,0.01
WBGene00005814,0.01
WBGene00008538,0.01
WBGene00001706,0.01
WBGene00220138,0.01
WBGene00004994,0.01
WBGene00012603,0.01
WBGene00000654,0.01
WBGene00015760,0.01
WBGene00005117,0.01
WBGene00019563,0.01
WBGene00012587,0.01
WBGene00001387,0.01
WBGene00015757,0.01
WBGene00015762,0.01
WBGene00019449,0.01
WBGene00015877,0.01
WBGene00007183,0.01
WBGene00010149,0.01
WBGene00020244,0.01
WBGene00019454,0.01
WBGene00019450,0.01
WBGene00014771,0.01
WBGene00012589,0.01
WBGene00019451,0.01
WBGene00015878,0.01
WBGene00010166,0.01
WBGene00018601,0.01
WBGene00010380,0.01
WBGene00049888,0.01
WBGene00003473,0.01
WBGene00001500,0.01
WBGene00001436,0.01
WBGene00022758,0.01
WBGene00003647,0.01
WBGene00017501,0.01
WBGene00010759,0.01
WBGene00015758,0.01
WBGene00011167,0.01
WBGene00022757,0.01
WBGene00044212,0.01
WBGene00012324,0.01
WBGene00008786,0.01
WBGene00015911,0.01
WBGene00020242,0.01
WBGene00199860,0.01
WBGene00019452,0.01
WBGene00019963,0.01
WBGene00169514,0.01
WBGene00014206,0.01
WBGene00007992,0.01
WBGene00018095,0.01
WBGene00044807,0.01
WBGene00015884,0.01
WBGene00172714,0.01
WBGene00021241,0.01
WBGene00022438,0.01
WBGene00022606,0.01
WBGene00020438,0.01
WBGene00012323,0.01
WBGene00015710,0.01
WBGene00019961,0.01
WBGene00010382,0.01
WBGene00013971,0.01
WBGene00017498,0.01
WBGene00049670,0.01
WBGene00016864,0.01
WBGene00014046,0.01
WBGene00020236,0.01
WBGene00004820,0.01
WBGene00018055,0.01
WBGene00012682,0.01
WBGene00022657,0.01
WBGene00020622,0.01
WBGene00011244,0.01
WBGene00047725,0.01
WBGene00008891,0.01
WBGene00013759,0.01
WBGene00015520,0.01
WBGene00007873,0.01
WBGene00015886,0.01
WBGene00007887,0.01
WBGene00022261,0.01
WBGene00004813,0.01
WBGene00007864,0.01
WBGene00000749,0.01
WBGene00010519,0.01
WBGene00011362,0.01
WBGene00007876,0.01
WBGene00010383,0.01
WBGene00199674,0.01
WBGene00008904,0.01
WBGene00020243,0.01
WBGene00010127,0.01
WBGene00018809,0.01
WBGene00006630,0.01
WBGene00022321,0.01
WBGene00044340,0.01
WBGene00007836,0.01
WBGene00005912,0.01
WBGene00012604,0.01
WBGene00020618,0.01
WBGene00172406,0.01
WBGene00009963,0.01
WBGene00013319,0.01
WBGene00008526,0.01
WBGene00004171,0.01
WBGene00008583,0.01
WBGene00012958,0.01
WBGene00004750,0.01
WBGene00194843,0.01
WBGene00008157,0.01
WBGene00000133,0.01
WBGene00013254,0.01
WBGene00015876,0.01
WBGene00170609,0.01
WBGene00022096,0.01
WBGene00044043,0.01
WBGene00017020,0.01
WBGene00018062,0.01
WBGene00004821,0.01
WBGene00016052,0.01
WBGene00020881,0.01
WBGene00020221,0.01
WBGene00014242,0.01
WBGene00012538,0.01
WBGene00012021,0.01
WBGene00012247,0.01
WBGene00018971,0.01
WBGene00010568,0.01
WBGene00008838,0.01
WBGene00001981,0.01
WBGene00016695,0.01
WBGene00001435,0.01
WBGene00017214,0.01
WBGene00009467,0.01
WBGene00009177,0.01
WBGene00009778,0.01
WBGene00010931,0.01
WBGene00017365,0.01
WBGene00015439,0.01
WBGene00045493,0.01
WBGene00016577,0.01
WBGene00017376,0.01
WBGene00022083,0.01
WBGene00010124,0.01
WBGene00016502,0.01
WBGene00007886,0.01
WBGene00006886,0.01
WBGene00019922,0.01
WBGene00009071,0.01
WBGene00012597,0.01
WBGene00020308,0.01
WBGene00018094,0.01
WBGene00020620,0.01
WBGene00010606,0.01
WBGene00011979,0.01
WBGene00021580,0.01
WBGene00174270,0.01
WBGene00001392,0.01
WBGene00018438,0.01
WBGene00009429,0.01
WBGene00021043,0.01
WBGene00020617,0.01
WBGene00006939,0.01
WBGene00014732,0.01
WBGene00000301,0.01
WBGene00014030,0.01
WBGene00018433,0.01
WBGene00004819,0.01
WBGene00007875,0.01
WBGene00016004,0.01
WBGene00018110,0.01
WBGene00020616,0.01
WBGene00017524,0.01
WBGene00021478,0.01
WBGene00006650,0.01
WBGene00235114,0.01
WBGene00015198,0.01
WBGene00021772,0.01
WBGene00015112,0.01
WBGene00206389,0.01
WBGene00007283,0.01
WBGene00014064,0.01
WBGene00016481,0.01
WBGene00013799,0.01
WBGene00020016,0.01
WBGene00004025,0.01
WBGene00172819,0.01
WBGene00000008,0.01
WBGene00012436,0.01
WBGene00009311,0.01
WBGene00017660,0.01
WBGene00005832,0.01
WBGene00005412,0.01
WBGene00009600,0.01
WBGene00009213,0.01
WBGene00019578,0.01
WBGene00009488,0.01
WBGene00009597,0.01
WBGene00020182,0.01
WBGene00007656,0.01
WBGene00015882,0.01
WBGene00001158,0.01
WBGene00013830,0.01
WBGene00015465,0.01
WBGene00011981,0.01
WBGene00165575,0.01
WBGene00007850,0.01
WBGene00016486,0.01
WBGene00194898,0.01
WBGene00010126,0.01
WBGene00019962,0.01
WBGene00011010,0.01
WBGene00015268,0.01
WBGene00013058,0.01
WBGene00009215,0.01
WBGene00048610,0.01
WBGene00014235,0.01
WBGene00015578,0.01
WBGene00008290,0.01
WBGene00003099,0.01
WBGene00020238,0.01
WBGene00008575,0.01
WBGene00021160,0.01
WBGene00003610,0.01
WBGene00016437,0.01
WBGene00004354,0.01
WBGene00010878,0.01
WBGene00009427,0.01
WBGene00165479,0.01
WBGene00011708,0.01
WBGene00013900,0.01
WBGene00020758,0.01
WBGene00001764,0.01
WBGene00018645,0.01
WBGene00045291,0.01
WBGene00007913,0.01
WBGene00014173,0.01
WBGene00008844,0.01
WBGene00018986,0.01
WBGene00010555,0.01
WBGene00007439,0.01
WBGene00021875,0.01
WBGene00010509,0.01
WBGene00007682,0.01
WBGene00045535,0.01
WBGene00017143,0.01
WBGene00015899,0.01
WBGene00004997,0.01
WBGene00018647,0.01
WBGene00019621,0.01
WBGene00005403,0.01
WBGene00001076,0.01
WBGene00018535,0.01
WBGene00012434,0.01
WBGene00016457,0.01
WBGene00016453,0.01
WBGene00044206,0.01
WBGene00018211,0.01
WBGene00006193,0.01
WBGene00010879,0.01
WBGene00013607,0.01
WBGene00012748,0.01
WBGene00008632,0.01
WBGene00011342,0.01
WBGene00019619,0.01
WBGene00019105,0.01
WBGene00010123,0.01
WBGene00022508,0.01
WBGene00015624,0.01
WBGene00001178,0.01
WBGene00012583,0.01
WBGene00010999,0.01
WBGene00017390,0.01
WBGene00020938,0.01
WBGene00008584,0.01
WBGene00009042,0.01
WBGene00022082,0.01
WBGene00003551,0.01
WBGene00001523,0.01
WBGene00011339,0.01
WBGene00020778,0.01
WBGene00045410,0.01
WBGene00001477,0.01
WBGene00009896,0.01
WBGene00077757,0.01
WBGene00020619,0.01
WBGene00004353,0.01
WBGene00170950,0.01
WBGene00003652,0.01
WBGene00005242,0.01
WBGene00011162,0.01
WBGene00008492,0.01
WBGene00021818,0.01
WBGene00018446,0.01
WBGene00022669,0.01
WBGene00219274,0.01
WBGene00009708,0.01
WBGene00015171,0.01
WBGene00011165,0.01
WBGene00019917,0.01
WBGene00077692,0.01
WBGene00009750,0.01
WBGene00010745,0.01
WBGene00012594,0.01
WBGene00019044,0.01
WBGene00013659,0.01
WBGene00015894,0.01
WBGene00008358,0.01
WBGene00013379,0.01
WBGene00017703,0.01
WBGene00010128,0.01
WBGene00007484,0.01
WBGene00010234,0.01
WBGene00012591,0.01
WBGene00004816,0.01
WBGene00004157,0.01
WBGene00195363,0.01
WBGene00003601,0.01
WBGene00021712,0.01
WBGene00015933,0.01
WBGene00219318,0.01
WBGene00008822,0.01
WBGene00007851,0.01
WBGene00019089,0.01
WBGene00009431,0.01
WBGene00044535,0.01
WBGene00010790,0.01
WBGene00015577,0.01
WBGene00010125,0.01
WBGene00008210,0.01
WBGene00044200,0.01
WBGene00020771,0.01
WBGene00022641,0.01
WBGene00011925,0.01
WBGene00017402,0.01
WBGene00044515,0.01
WBGene00009048,0.01
WBGene00007162,0.01
WBGene00013887,0.01
WBGene00012664,0.01
WBGene00003091,0.01
WBGene00014769,0.01
WBGene00018393,0.01
WBGene00004811,0.01
WBGene00013073,0.01
WBGene00012631,0.01
WBGene00009300,0.01
WBGene00017587,0.01
WBGene00011809,0.01
WBGene00009855,0.01
WBGene00019625,0.01
WBGene00011724,0.01
WBGene00020878,0.01
WBGene00016995,0.01
WBGene00016274,0.01
WBGene00220129,0.01
WBGene00018643,0.01
WBGene00017970,0.01
WBGene00012683,0.01
WBGene00009895,0.01
WBGene00021042,0.01
WBGene00000111,0.01
WBGene00009243,0.01
WBGene00011894,0.01
WBGene00012900,0.01
WBGene00194674,0.01
WBGene00012302,0.01
WBGene00010456,0.01
WBGene00000972,0.01
WBGene00044469,0.01
WBGene00013116,0.01
WBGene00009146,0.01
WBGene00007773,0.01
WBGene00006418,0.01
WBGene00047835,0.01
WBGene00015897,0.01
WBGene00017537,0.01
WBGene00043062,0.01
WBGene00020220,0.01
WBGene00015295,0.01
WBGene00016362,0.01
WBGene00016485,0.01
WBGene00003702,0.01
WBGene00014000,0.01
WBGene00017060,0.01
WBGene00020590,0.01
WBGene00019306,0.01
WBGene00007751,0.01
WBGene00000430,0.01
WBGene00018707,0.01
WBGene00003219,0.01
WBGene00044034,0.01
WBGene00012149,0.01
WBGene00044382,0.01
WBGene00000491,0.01
WBGene00008793,0.01
WBGene00010066,0.01
WBGene00008825,0.01
WBGene00001397,0.01
WBGene00010051,0.01
WBGene00044339,0.01
WBGene00012322,0.01
WBGene00044182,0.01
WBGene00011699,0.01
WBGene00007653,0.01
WBGene00016822,0.01
WBGene00016797,0.01
WBGene00008220,0.01
WBGene00001479,0.01
WBGene00017022,0.01
WBGene00007275,0.01
WBGene00000218,0.01
WBGene00017667,0.01
WBGene00044646,0.01
WBGene00013329,0.01
WBGene00171479,0.01
WBGene00000646,0.01
WBGene00016912,0.01
WBGene00219313,0.01
WBGene00006272,0.01
WBGene00018439,0.01
WBGene00010365,0.01
WBGene00017131,0.01
WBGene00015662,0.01
WBGene00020276,0.01
WBGene00008495,0.01
WBGene00008207,0.01
WBGene00020606,0.01
WBGene00014091,0.01
WBGene00023417,0.01
WBGene00017691,0.01
WBGene00004170,0.01
WBGene00009265,0.01
WBGene00021907,0.01
WBGene00009752,0.01
WBGene00022554,0.01
WBGene00013049,0.01
WBGene00011615,0.01
WBGene00003530,0.01
WBGene00018286,0.01
WBGene00023489,0.01
WBGene00021587,0.01
WBGene00019967,0.01
WBGene00015100,0.01
WBGene00010513,0.01
WBGene00249817,0.01
WBGene00017864,0.01
WBGene00001782,0.01
WBGene00012423,0.01
WBGene00019989,0.01
WBGene00001606,0.01
WBGene00020869,0.01
WBGene00009854,0.01
WBGene00004798,0.01
WBGene00008596,0.01
WBGene00005653,0.01
WBGene00021605,0.01
WBGene00018589,0.01
WBGene00194695,0.01
WBGene00009240,0.01
WBGene00007487,0.01
WBGene00001949,0.01
WBGene00006552,0.01
WBGene00016783,0.01
WBGene00009706,0.01
WBGene00012293,0.01
WBGene00010743,0.01
WBGene00007211,0.01
WBGene00022292,0.01
WBGene00013847,0.01
WBGene00001119,0.01
WBGene00008556,0.01
WBGene00013037,0.01
WBGene00007225,0.01
WBGene00018502,0.01
WBGene00019113,0.01
WBGene00008554,0.01
WBGene00235369,0.01
WBGene00008013,0.01
WBGene00006619,0.01
WBGene00018574,0.01
WBGene00021583,0.01
WBGene00045508,0.01
WBGene00009302,0.01
WBGene00000783,0.01
WBGene00006980,0.01
WBGene00020614,0.01
WBGene00014793,0.01
WBGene00003865,0.01
WBGene00003683,0.01
WBGene00009634,0.01
WBGene00044213,0.01
WBGene00017382,0.01
WBGene00016305,0.01
WBGene00007391,0.01
WBGene00020879,0.01
WBGene00015705,0.01
WBGene00008415,0.01
WBGene00013216,0.01
WBGene00012249,0.01
WBGene00020140,0.01
WBGene00011369,0.01
WBGene00015759,0.01
WBGene00018143,0.01
WBGene00007806,0.01
WBGene00017134,0.01
WBGene00044158,0.01
WBGene00001700,0.01
WBGene00018701,0.01
WBGene00015050,0.01
WBGene00004903,0.01
WBGene00015392,0.01
WBGene00003957,0.01
WBGene00010659,0.01
WBGene00015403,0.01
WBGene00014907,0.01
WBGene00014996,0.01
WBGene00020656,0.01
WBGene00021532,0.01
WBGene00008186,0.01
WBGene00011002,0.01
WBGene00007117,0.01
WBGene00044250,0.01
WBGene00013158,0.01
WBGene00009232,0.01
WBGene00017789,0.01
WBGene00016515,0.01
WBGene00018189,0.01
WBGene00010208,0.01
WBGene00019979,0.01
WBGene00000387,0.01
WBGene00003620,0.01
WBGene00022760,0.01
WBGene00018223,0.01
WBGene00016892,0.01
WBGene00009968,0.01
WBGene00015360,0.01
WBGene00009526,0.01
WBGene00019082,0.01
WBGene00009299,0.01
WBGene00219592,0.01
WBGene00015433,0.01
WBGene00009824,0.01
WBGene00000644,0.01
WBGene00016659,0.01
WBGene00012778,0.01
WBGene00012723,0.01
WBGene00020707,0.01
WBGene00015421,0.01
WBGene00021178,0.01
WBGene00011509,0.01
WBGene00007709,0.01
WBGene00022586,0.01
WBGene00022455,0.01
WBGene00000460,0.01
WBGene00016780,0.01
WBGene00043998,0.01
WBGene00008681,0.01
WBGene00009572,0.01
WBGene00012401,0.01
WBGene00005650,0.01
WBGene00007950,0.01
WBGene00011986,0.01
WBGene00019779,0.01
WBGene00021975,0.01
WBGene00016828,0.01
WBGene00007169,0.01
WBGene00014241,0.01
WBGene00195164,0.01
WBGene00015052,0.01
WBGene00016884,0.01
WBGene00022654,0.01
WBGene00012259,0.01
WBGene00219646,0.01
WBGene00017392,0.01
WBGene00021265,0.01
WBGene00021380,0.01
WBGene00018789,0.01
WBGene00017035,0.01
WBGene00016558,0.01
WBGene00013640,0.01
WBGene00018495,0.01
WBGene00001776,0.01
WBGene00004728,0.01
WBGene00017545,0.01
WBGene00012428,0.01
WBGene00000023,0.01
WBGene00016360,0.01
WBGene00012379,0.01
WBGene00014117,0.01
WBGene00009397,0.01
WBGene00020066,0.01
WBGene00003090,0.01
WBGene00011898,0.01
WBGene00021889,0.01
WBGene00002263,0.01
WBGene00020989,0.01
WBGene00016286,0.01
WBGene00009193,0.01
WBGene00020992,0.01
WBGene00003613,0.01
WBGene00012593,0.01
WBGene00012426,0.01
WBGene00015202,0.01
WBGene00009062,0.01
WBGene00001607,0.01
WBGene00020292,0.01
WBGene00020810,0.01
WBGene00007344,0.01
WBGene00004078,0.01
WBGene00018578,0.01
WBGene00021596,0.01
WBGene00010034,0.01
WBGene00194643,0.01
WBGene00007734,0.01
WBGene00011340,0.01
WBGene00014003,0.01
WBGene00017548,0.01
WBGene00000003,0.01
WBGene00020116,0.01
WBGene00021632,0.01
WBGene00019555,0.01
WBGene00009217,0.01
WBGene00010386,0.01
WBGene00010485,0.01
WBGene00219688,0.01
WBGene00013374,0.01
WBGene00010245,0.01
WBGene00014100,0.01
WBGene00019657,0.01
WBGene00019606,0.01
WBGene00016097,0.01
WBGene00020435,0.01
WBGene00015511,0.01
WBGene00018428,0.01
WBGene00020254,0.01
WBGene00013478,0.01
WBGene00007454,0.01
WBGene00021781,0.01
WBGene00044270,0.01
WBGene00009301,0.01
WBGene00015786,0.01
WBGene00015615,0.01
WBGene00012074,0.01
WBGene00086556,0.01
WBGene00008072,0.01
WBGene00011053,0.01
WBGene00013524,0.01
WBGene00006394,0.01
WBGene00008079,0.01
WBGene00014183,0.01
WBGene00015030,0.01
WBGene00020526,0.01
WBGene00009830,0.01
WBGene00220250,0.01
WBGene00014202,0.01
WBGene00001186,0.01
