samples,data,cell.type,condition,duration,Gene,quantile
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,ACSF3,0.11706092028515878
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,ACSS2,0.1530703175631886
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,ADAM11,0.8228289047310434
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,ALDOA,0.9303710304601426
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,ATXN1L,0.7971484121840571
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,BAZ2B,0.7870625405055087
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,BTBD17,0.3838302009073234
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,CBS,0.6102559948152949
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,CDO1,0.990602721970188
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,CLUAP1,0.8762556707712249
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,COLQ,0.16088788075178223
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,CRISP2,NA
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,CTSB,0.8370058327932599
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,DRAM2,0.8043583927414129
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,DUSP11,0.8798201555411536
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,EEF2K,0.6865683732987686
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,EGLN2,0.06578094620868438
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,ENDOU,0.40955119896305897
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,ENO4,0.7007047958522359
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,ETHE1,0.0817401166558652
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,FAM162B,0.9739549578742709
