"","names","Pos"
"1","ENSG00000186092",721
"2","ENSG00000186092",1001
"3","ENSG00000186092",2303
"4","ENSG00000187634",349
"5","ENSG00000187634",568
"6","ENSG00000187634",801
"7","ENSG00000187634",1573
"8","ENSG00000187634",1707
"9","ENSG00000187634",1914
"10","ENSG00000187634",2835
"11","ENSG00000187634",3239
"12","ENSG00000188976",18
"13","ENSG00000188976",112
"14","ENSG00000188976",132
"15","ENSG00000188976",151
"16","ENSG00000188976",436
"17","ENSG00000188976",551
"18","ENSG00000188976",1651
"19","ENSG00000188976",1769
"20","ENSG00000188976",1832
"21","ENSG00000188976",1998
"22","ENSG00000188976",3538
"23","ENSG00000188976",3748
"24","ENSG00000188976",3964
"25","ENSG00000187961",95
"26","ENSG00000187961",137
"27","ENSG00000187961",1942
"28","ENSG00000187961",2089
"29","ENSG00000187961",2390
"30","ENSG00000187961",2669
"31","ENSG00000187961",2827
"32","ENSG00000187961",3392
"33","ENSG00000187583",260
"34","ENSG00000187583",679
"35","ENSG00000187583",793
"36","ENSG00000187583",896
"37","ENSG00000187583",1452
"38","ENSG00000187583",1857
"39","ENSG00000187583",1905
"40","ENSG00000187583",1932
"41","ENSG00000187583",2010
"42","ENSG00000187583",2906
"43","ENSG00000187583",3158
"44","ENSG00000187642",34
"45","ENSG00000187642",696
"46","ENSG00000187642",1247
"47","ENSG00000187642",2192
"48","ENSG00000187642",2210
"49","ENSG00000187642",2255
"50","ENSG00000187642",2331
"51","ENSG00000187642",3009
"52","ENSG00000187642",3089
"53","ENSG00000187642",3168
"54","ENSG00000187642",3401
"55","ENSG00000187642",3566
"56","ENSG00000187642",3924
"57","ENSG00000188290",130
"58","ENSG00000188290",578
"59","ENSG00000188290",1175
"60","ENSG00000188290",1285
"61","ENSG00000188290",1610
"62","ENSG00000188290",2536
"63","ENSG00000188290",2572
"64","ENSG00000188290",2908
"65","ENSG00000188290",3025
"66","ENSG00000188290",3064
"67","ENSG00000188290",3228
"68","ENSG00000188290",3944
"69","ENSG00000187608",1071
"70","ENSG00000187608",1756
"71","ENSG00000187608",2821
"72","ENSG00000187608",3711
"73","ENSG00000187608",3717
"74","ENSG00000187608",3805
"75","ENSG00000188157",534
"76","ENSG00000188157",713
"77","ENSG00000188157",832
"78","ENSG00000188157",2702
"79","ENSG00000188157",2973
"80","ENSG00000188157",3116
"81","ENSG00000188157",3291
"82","ENSG00000237330",3362
"83","ENSG00000237330",3412
"84","ENSG00000237330",3431
"85","ENSG00000237330",3477
"86","ENSG00000237330",3512
"87","ENSG00000131591",452
"88","ENSG00000131591",498
