"","start","end","width","names"
"1",674,679,6,"nhr-2"
"2",1323,1328,6,"mut-2"
"3",1928,1933,6,"mut-2"
"4",3838,3843,6,"K04F10.1"
"5",454,459,6,"ZC308.4"
"6",2049,2054,6,"ZC308.4"
"7",3985,3990,6,"ipgm-1"
"8",2300,2305,6,"mei-1"
"9",3145,3150,6,"mei-1"
"10",1314,1319,6,"F26H9.5"
"11",2812,2817,6,"F26H9.5"
"12",2737,2742,6,"C03D6.1"
"13",3636,3641,6,"F29C6.1"
"14",2805,2810,6,"gale-1"
"15",2247,2252,6,"nhr-21"
"16",66,71,6,"F22B5.4"
"17",3957,3962,6,"F22B5.4"
"18",470,475,6,"M05D6.5"
"19",2248,2253,6,"M05D6.5"
"20",2280,2285,6,"M05D6.5"
"21",3572,3577,6,"M05D6.5"
"22",2126,2131,6,"M05D6.6"
"23",3904,3909,6,"M05D6.6"
"24",3936,3941,6,"M05D6.6"
"25",647,652,6,"F46C5.1"
"26",2044,2049,6,"enol-1"
"27",2651,2656,6,"col-78"
"28",401,406,6,"oac-54"
"29",2386,2391,6,"oac-54"
"30",873,878,6,"rhy-1"
"31",3061,3066,6,"rhy-1"
"32",3484,3489,6,"rhy-1"
"33",3894,3899,6,"rhy-1"
"34",1406,1411,6,"C01G6.3"
"35",22,27,6,"ldh-1"
"36",3622,3627,6,"ldh-1"
"37",641,646,6,"Y57A10A.26"
"38",1059,1064,6,"Y57A10A.26"
"39",1482,1487,6,"Y57A10A.26"
"40",361,366,6,"Y38E10A.9"
"41",2479,2484,6,"Y38E10A.9"
"42",3219,3224,6,"nspe-4"
"43",129,134,6,"nspe-6"
"44",3036,3041,6,"nspe-6"
"45",1033,1038,6,"nspe-3"
"46",1144,1149,6,"nspe-3"
"47",2436,2441,6,"nspe-3"
"48",1026,1031,6,"nspe-2"
"49",1940,1945,6,"nspe-2"
"50",3371,3376,6,"nspe-2"
"51",2506,2511,6,"nspe-1"
"52",3420,3425,6,"nspe-1"
"53",954,959,6,"nspe-5"
"54",1267,1272,6,"gst-16"
"55",3906,3911,6,"gst-19"
"56",3802,3807,6,"C31C9.2"
"57",3686,3691,6,"cysl-2"
"58",228,233,6,"mmcm-1"
"59",3210,3215,6,"mmcm-1"
"60",179,184,6,"nit-1"
"61",3890,3895,6,"nit-1"
"62",682,687,6,"F54D8.6"
"63",2707,2712,6,"dpy-17"
"64",336,341,6,"sax-2"
"65",486,491,6,"efk-1"
"66",1027,1032,6,"efk-1"
"67",3438,3443,6,"efk-1"
"68",3589,3594,6,"F57B9.1"
"69",3107,3112,6,"unc-71"
"70",1724,1729,6,"W08E12.8"
"71",733,738,6,"dyf-3"
"72",755,760,6,"dyf-3"
"73",701,706,6,"F30B5.4"
"74",740,745,6,"F32E10.5"
"75",3196,3201,6,"flh-1"
"76",1136,1141,6,"flh-3"
"77",3920,3925,6,"ethe-1"
"78",555,560,6,"sqrd-1"
"79",3958,3963,6,"sqrd-1"
"80",865,870,6,"skr-10"
"81",2309,2314,6,"Y10G11A.1"
"82",776,781,6,"gln-5"
"83",2831,2836,6,"R08E5.1"
"84",3508,3513,6,"R08E5.1"
"85",2269,2274,6,"R08E5.3"
"86",2977,2982,6,"R08E5.3"
"87",3591,3596,6,"R08E5.3"
"88",1924,1929,6,"cysl-3"
"89",1299,1304,6,"phat-5"
"90",2805,2810,6,"T05B4.13"
"91",3461,3466,6,"nhr-57"
"92",3746,3751,6,"nhr-57"
"93",358,363,6,"lgc-1"
"94",643,648,6,"lgc-1"
"95",3771,3776,6,"lgc-1"
"96",3043,3048,6,"mdh-1"
"97",3162,3167,6,"mdh-1"
"98",1271,1276,6,"mom-2"
"99",1684,1689,6,"T27E4.7"
"100",2484,2489,6,"try-5"
"101",3336,3341,6,"cpr-1"
"102",3915,3920,6,"cpr-1"
"103",2018,2023,6,"gcy-33"
"104",804,809,6,"bir-2"
"105",1188,1193,6,"bir-2"
"106",2449,2454,6,"bir-2"
"107",819,824,6,"H37A05.4"
"108",2469,2474,6,"H37A05.4"
"109",3397,3402,6,"srh-17"
"110",2303,2308,6,"mpst-3"
"111",2245,2250,6,"cdo-1"
"112",2676,2681,6,"cdo-1"
"113",3222,3227,6,"cdo-1"
"114",3133,3138,6,"F47G3.3"
"115",498,503,6,"aat-3"
"116",1685,1690,6,"acl-12"
"117",3368,3373,6,"pcca-1"
"118",771,776,6,"sdha-1"
"119",2794,2799,6,"sdha-1"
"120",438,443,6,"cysl-1"
"121",1681,1686,6,"cysl-1"
"122",2519,2524,6,"col-176"
"123",892,897,6,"nfya-1"
"124",3533,3538,6,"nfya-1"
"125",61,66,6,"T18D3.1"
"126",128,133,6,"K03A11.1"
"127",2392,2397,6,"K03A11.1"
"128",3195,3200,6,"K03A11.1"
"129",2123,2128,6,"H40L08.2"
"130",3168,3173,6,"H40L08.2"
"131",3359,3364,6,"H40L08.2"
"132",3335,3340,6,"C33A11.2"
"133",2574,2579,6,"ZK1073.1"
"134",3735,3740,6,"ZK1073.1"
