"","chr","start","end","Total.400","Total.1k","400-43252","400-AHA-1","400-CEH-32","400-CEH-38","400-CES-1","400-DAF-16","400-DPL-1","400-DUXL-1","400-DVE-1","400-F10B5.3","400-F37D6.2","400-F49E8.2","400-FKH-10","400-HLH-30","400-LIN-13","400-LIN-15B","400-LIN-39","400-LIR-3","400-LSY-2","400-MDL-1","400-MEP-1","400-NHR-102","400-NHR-11","400-NHR-237","400-NHR-25","400-NHR-28","400-NHR-48","400-NHR-6","400-NHR-76","400-NHR-77","400-PHA-4","400-RBR-2","400-SNPC-4","400-SPR-1","400-UNC-130","400-ZAG-1","400-ZFP-2","400-ZIP-2","400-ZK546.5","400-ZTF-7","400-NHR-10","400-PQM-1","400-C05D10.1","400-CEY-2","400-FOS-1","400-R02D3.7","400-UNC-62","400-F45C12.2","400-SKN-1","400-ZTF-11","400-EGL-27","400-NHR-116","400-UNC-39","400-R06F6.6","1k-43252","1k-AHA-1","1k-CEH-32","1k-CEH-38","1k-CES-1","1k-DAF-16","1k-DPL-1","1k-DUXL-1","1k-DVE-1","1k-F10B5.3","1k-F37D6.2","1k-F49E8.2","1k-FKH-10","1k-HLH-30","1k-LIN-13","1k-LIN-15B","1k-LIN-39","1k-LIR-3","1k-LSY-2","1k-MDL-1","1k-MEP-1","1k-NHR-102","1k-NHR-11","1k-NHR-237","1k-NHR-25","1k-NHR-28","1k-NHR-48","1k-NHR-6","1k-NHR-76","1k-NHR-77","1k-PHA-4","1k-RBR-2","1k-SNPC-4","1k-SPR-1","1k-UNC-130","1k-ZAG-1","1k-ZFP-2","1k-ZIP-2","1k-ZK546.5","1k-ZTF-7","1k-NHR-10","1k-PQM-1","1k-C05D10.1","1k-CEY-2","1k-FOS-1","1k-R02D3.7","1k-UNC-62","1k-F45C12.2","1k-SKN-1","1k-ZTF-11","1k-EGL-27","1k-NHR-116","1k-UNC-39","1k-R06F6.6"
"1","chrI",16818,17262,43,43,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","chrI",382328,382772,29,29,NA,1,NA,1,NA,3,1,1,1,NA,1,NA,1,1,1,NA,NA,NA,2,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,3,1,1,1,NA,1,NA,1,1,1,NA,NA,NA,2,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","chrI",397664,398108,32,32,NA,NA,1,1,1,2,1,1,1,1,1,NA,1,1,1,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,1,1,NA,1,1,1,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","chrI",536597,537041,48,48,1,1,1,1,NA,3,1,1,1,1,1,1,1,1,1,1,NA,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,3,1,1,1,1,1,1,1,1,1,1,NA,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
"5","chrI",1068046,1068490,26,32,1,NA,1,1,NA,2,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,1,2,1,1,1,NA,NA,1,1,NA,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,3,1,NA,1,1,2,NA,NA,1,1,NA,NA,NA,2,2,1,1,1,NA,NA,1,2,1,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"6","chrI",1446836,1447280,29,29,1,NA,1,NA,NA,3,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,NA,1,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,3,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,NA,1,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","chrI",1835365,1835809,46,46,1,1,1,1,NA,3,1,1,1,1,1,NA,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,NA,1,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,3,1,1,1,1,1,NA,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,NA,1,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,NA,1,1,1,1,1,1,NA,NA,NA,NA
"8","chrI",2514104,2514548,32,32,1,1,NA,NA,NA,3,1,1,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,NA,1,NA,1,NA,1,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,3,1,1,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,NA,1,NA,1,NA,1,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA
"9","chrI",2587330,2587774,21,22,1,NA,NA,NA,NA,4,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","chrI",2628559,2629003,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
