"","start","end","width","names"
"1",320,325,6,"IV-14219663-14220036"
"2",226,231,6,"V-10466541-10466957"
"3",149,154,6,"V-10468155-10468599"
"4",174,179,6,"V-10473991-10474435"
"5",72,77,6,"V-13565283-13565727"
"6",111,116,6,"II-13627120-13627346"
"7",75,80,6,"II-13638640-13638753"
"8",268,273,6,"X-8021523-8021967"
"9",141,146,6,"X-864326-864770"
"10",340,345,6,"II-9160214-9160767"
"11",121,126,6,"V-3771933-3772131"
"12",190,195,6,"IV-3385431-3385875"
"13",229,234,6,"IV-3385431-3385875"
"14",175,180,6,"III-6168840-6169284"
"15",254,259,6,"II-8931369-8931813"
"16",169,174,6,"IV-9508584-9509028"
"17",126,131,6,"I-9315433-9315802"
"18",318,323,6,"I-10577054-10577498"
"19",334,339,6,"IV-4216113-4216557"
"20",290,295,6,"III-6971891-6972335"
"21",425,430,6,"I-12966696-12967140"
"22",18,23,6,"II-8483875-8483986"
"23",50,55,6,"II-8483875-8483986"
"24",437,442,6,"II-8483961-8484405"
"25",317,322,6,"II-8485619-8486063"
"26",216,221,6,"V-13657308-13657752"
"27",373,378,6,"V-13657308-13657752"
"28",382,387,6,"V-13658565-13659009"
"29",245,250,6,"X-15079285-15079729"
"30",153,158,6,"X-6743749-6744193"
"31",123,128,6,"V-4131422-4131946"
"32",129,134,6,"V-4131422-4131952"
"33",259,264,6,"X-11947116-11947560"
"34",64,69,6,"I-7595666-7596110"
"35",80,85,6,"I-7595666-7596110"
"36",100,105,6,"V-6517139-6517583"
"37",219,224,6,"V-6517139-6517583"
"38",120,125,6,"III-3908153-3908597"
"39",99,104,6,"IV-9063404-9063848"
"40",340,345,6,"IV-9063645-9064089"
"41",125,130,6,"V-14660708-14661152"
"42",227,232,6,"V-7415759-7416203"
"43",179,184,6,"V-7417020-7417464"
"44",281,286,6,"V-7417020-7417464"
"45",209,214,6,"II-4941583-4942027"
"46",68,73,6,"IV-13395215-13395532"
"47",33,38,6,"IV-13396505-13396640"
